"","trimestre","instrucao","setor","rendimento_medio_nominal"
"316","2021/1T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1376.82
"317","2021/1T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1803.88
"318","2021/1T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",2714.73
"319","2021/1T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",4972.94
"320","2021/1T","Sem instrução e menos de 1 ano de estudo","Indústria geral",999.09
"321","2021/1T","Fundamental incompleto ou equivalente","Indústria geral",1407.99
"322","2021/1T","Fundamental completo ou equivalente","Indústria geral",1614.5
"323","2021/1T","Médio incompleto ou equivalente","Indústria geral",1582.46
"324","2021/1T","Médio completo ou equivalente","Indústria geral",1961.55
"325","2021/1T","Superior incompleto ou equivalente","Indústria geral",2779.16
"326","2021/1T","Superior completo","Indústria geral",5556.1
"327","2021/1T","Sem instrução e menos de 1 ano de estudo","Construção",1138.59
"328","2021/1T","Fundamental incompleto ou equivalente","Construção",1397.93
"329","2021/1T","Fundamental completo ou equivalente","Construção",1502.23
"330","2021/1T","Médio incompleto ou equivalente","Construção",1405.42
"331","2021/1T","Médio completo ou equivalente","Construção",1708.06
"332","2021/1T","Superior incompleto ou equivalente","Construção",2392.13
"333","2021/1T","Superior completo","Construção",5177.65
"334","2021/1T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",1029.37
"335","2021/1T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1446.72
"336","2021/1T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1736.56
"337","2021/1T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1446.78
"338","2021/1T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1780.53
"339","2021/1T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2199.15
"340","2021/1T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3619.53
"341","2021/1T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",1018.34
"342","2021/1T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1825.13
"343","2021/1T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",2140.26
"344","2021/1T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",2012.64
"345","2021/1T","Médio completo ou equivalente","Transporte, armazenagem e correio ",1982.89
"346","2021/1T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2379
"347","2021/1T","Superior completo","Transporte, armazenagem e correio ",4219.18
"348","2021/1T","Sem instrução e menos de 1 ano de estudo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1492.12
"349","2021/1T","Fundamental incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1360.03
"350","2021/1T","Fundamental completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1681.78
"351","2021/1T","Médio incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1860.75
"352","2021/1T","Médio completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1942.01
"353","2021/1T","Superior incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2554.28
"354","2021/1T","Superior completo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",5375.12
"355","2021/1T","Sem instrução e menos de 1 ano de estudo","Administração pública, defesa e seguridade social ",1825.43
"356","2021/1T","Fundamental incompleto ou equivalente","Administração pública, defesa e seguridade social ",1520.03
"357","2021/1T","Fundamental completo ou equivalente","Administração pública, defesa e seguridade social ",1589.81
"358","2021/1T","Médio incompleto ou equivalente","Administração pública, defesa e seguridade social ",1678.81
"359","2021/1T","Médio completo ou equivalente","Administração pública, defesa e seguridade social ",2142.13
"360","2021/1T","Superior incompleto ou equivalente","Administração pública, defesa e seguridade social ",2374.54
"361","2021/1T","Superior completo","Administração pública, defesa e seguridade social ",5665.57
"362","2021/1T","Sem instrução e menos de 1 ano de estudo","Outros Serviços",803.85
"363","2021/1T","Fundamental incompleto ou equivalente","Outros Serviços",1020.63
"364","2021/1T","Fundamental completo ou equivalente","Outros Serviços",1558.18
"365","2021/1T","Médio incompleto ou equivalente","Outros Serviços",1070.37
"366","2021/1T","Médio completo ou equivalente","Outros Serviços",1302.01
"367","2021/1T","Superior incompleto ou equivalente","Outros Serviços",1793.7
"368","2021/1T","Superior completo","Outros Serviços",3353.59
"369","2021/1T","Sem instrução e menos de 1 ano de estudo","Atividades mal definidas",2079.58
"370","2021/1T","Fundamental incompleto ou equivalente","Atividades mal definidas",1072.84
"371","2021/1T","Fundamental completo ou equivalente","Atividades mal definidas",11000
"372","2021/1T","Médio incompleto ou equivalente","Atividades mal definidas",1011.3
"373","2021/1T","Médio completo ou equivalente","Atividades mal definidas",1471.65
"374","2021/1T","Superior incompleto ou equivalente","Atividades mal definidas",1218.08
"375","2021/1T","Superior completo","Atividades mal definidas",3503.33
"376","2021/2T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",741.28
"377","2021/2T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1276.3
"378","2021/2T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1600.94
"379","2021/2T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1463.46
"380","2021/2T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1796.96
"381","2021/2T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",4337.52
"382","2021/2T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",5405.59
"383","2021/2T","Sem instrução e menos de 1 ano de estudo","Indústria geral",1162.05
"384","2021/2T","Fundamental incompleto ou equivalente","Indústria geral",1419.58
"385","2021/2T","Fundamental completo ou equivalente","Indústria geral",1701.83
"386","2021/2T","Médio incompleto ou equivalente","Indústria geral",1531.53
"387","2021/2T","Médio completo ou equivalente","Indústria geral",1955.47
"388","2021/2T","Superior incompleto ou equivalente","Indústria geral",3095.33
"389","2021/2T","Superior completo","Indústria geral",5624.66
"390","2021/2T","Sem instrução e menos de 1 ano de estudo","Construção",1224.11
"391","2021/2T","Fundamental incompleto ou equivalente","Construção",1433.98
"392","2021/2T","Fundamental completo ou equivalente","Construção",1584.84
"393","2021/2T","Médio incompleto ou equivalente","Construção",1466.82
"394","2021/2T","Médio completo ou equivalente","Construção",1777.17
"395","2021/2T","Superior incompleto ou equivalente","Construção",2293.65
"396","2021/2T","Superior completo","Construção",5041.53
"397","2021/2T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",1110.25
"398","2021/2T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1466.94
"399","2021/2T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1607.55
"400","2021/2T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1474.67
"401","2021/2T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1787.31
"402","2021/2T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2110.66
"403","2021/2T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3583.04
"404","2021/2T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",1294.99
"405","2021/2T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1840.37
"406","2021/2T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",1966.6
"407","2021/2T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",1880.27
"408","2021/2T","Médio completo ou equivalente","Transporte, armazenagem e correio ",1972.79
"409","2021/2T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2403.28
"410","2021/2T","Superior completo","Transporte, armazenagem e correio ",4126.09
"411","2021/2T","Sem instrução e menos de 1 ano de estudo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1429.89
"412","2021/2T","Fundamental incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1431.62
"413","2021/2T","Fundamental completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1698.65
"414","2021/2T","Médio incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1571.8
"415","2021/2T","Médio completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1916.45
"416","2021/2T","Superior incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2619.51
"417","2021/2T","Superior completo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",5647.05
"418","2021/2T","Sem instrução e menos de 1 ano de estudo","Administração pública, defesa e seguridade social ",2142.68
"419","2021/2T","Fundamental incompleto ou equivalente","Administração pública, defesa e seguridade social ",1536.75
"420","2021/2T","Fundamental completo ou equivalente","Administração pública, defesa e seguridade social ",1642.85
"421","2021/2T","Médio incompleto ou equivalente","Administração pública, defesa e seguridade social ",1443.3
"422","2021/2T","Médio completo ou equivalente","Administração pública, defesa e seguridade social ",2230.36
"423","2021/2T","Superior incompleto ou equivalente","Administração pública, defesa e seguridade social ",2192.33
"424","2021/2T","Superior completo","Administração pública, defesa e seguridade social ",5527.38
"425","2021/2T","Sem instrução e menos de 1 ano de estudo","Outros Serviços",848.6
"426","2021/2T","Fundamental incompleto ou equivalente","Outros Serviços",1030.62
"427","2021/2T","Fundamental completo ou equivalente","Outros Serviços",1139.11
"428","2021/2T","Médio incompleto ou equivalente","Outros Serviços",1138.55
"429","2021/2T","Médio completo ou equivalente","Outros Serviços",1324.59
"430","2021/2T","Superior incompleto ou equivalente","Outros Serviços",1725.96
"431","2021/2T","Superior completo","Outros Serviços",3025.72
"432","2021/2T","Sem instrução e menos de 1 ano de estudo","Atividades mal definidas",706.28
"433","2021/2T","Fundamental incompleto ou equivalente","Atividades mal definidas",1077.02
"434","2021/2T","Fundamental completo ou equivalente","Atividades mal definidas",1918.66
"435","2021/2T","Médio incompleto ou equivalente","Atividades mal definidas",1028.22
"436","2021/2T","Médio completo ou equivalente","Atividades mal definidas",2119.07
"437","2021/2T","Superior incompleto ou equivalente","Atividades mal definidas",1272.31
"438","2021/2T","Superior completo","Atividades mal definidas",1960.89
