"","trimestre","instrucao","setor","rendimento_medio_nominal"
"64","2020/1T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",682.43
"65","2020/1T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1092.98
"66","2020/1T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1550.86
"67","2020/1T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1592.33
"68","2020/1T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1850.26
"69","2020/1T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",3458.58
"70","2020/1T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",6646.98
"71","2020/1T","Sem instrução e menos de 1 ano de estudo","Indústria geral",895.43
"72","2020/1T","Fundamental incompleto ou equivalente","Indústria geral",1367.77
"73","2020/1T","Fundamental completo ou equivalente","Indústria geral",1579.48
"74","2020/1T","Médio incompleto ou equivalente","Indústria geral",1473.02
"75","2020/1T","Médio completo ou equivalente","Indústria geral",1946.59
"76","2020/1T","Superior incompleto ou equivalente","Indústria geral",2720.9
"77","2020/1T","Superior completo","Indústria geral",6048.17
"78","2020/1T","Sem instrução e menos de 1 ano de estudo","Construção",1099.24
"79","2020/1T","Fundamental incompleto ou equivalente","Construção",1409.72
"80","2020/1T","Fundamental completo ou equivalente","Construção",1547.98
"81","2020/1T","Médio incompleto ou equivalente","Construção",1447.87
"82","2020/1T","Médio completo ou equivalente","Construção",1775.46
"83","2020/1T","Superior incompleto ou equivalente","Construção",2248.69
"84","2020/1T","Superior completo","Construção",6751.28
"85","2020/1T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",1285.53
"86","2020/1T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1400.01
"87","2020/1T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1597.55
"88","2020/1T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1399.11
"89","2020/1T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1769.74
"90","2020/1T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2272.59
"91","2020/1T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3765.04
"92","2020/1T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",1327.7
"93","2020/1T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1820.66
"94","2020/1T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",1973.89
"95","2020/1T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",1879.04
"96","2020/1T","Médio completo ou equivalente","Transporte, armazenagem e correio ",2132.18
"97","2020/1T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2490.9
"98","2020/1T","Superior completo","Transporte, armazenagem e correio ",4467.28
"99","2020/1T","Sem instrução e menos de 1 ano de estudo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1426.5
"100","2020/1T","Fundamental incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1392.8
"101","2020/1T","Fundamental completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1582.01
"102","2020/1T","Médio incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1489.35
"103","2020/1T","Médio completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1908.8
"104","2020/1T","Superior incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2423.59
"105","2020/1T","Superior completo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",5759.11
"106","2020/1T","Sem instrução e menos de 1 ano de estudo","Administração pública, defesa e seguridade social ",1795.92
"107","2020/1T","Fundamental incompleto ou equivalente","Administração pública, defesa e seguridade social ",1430.51
"108","2020/1T","Fundamental completo ou equivalente","Administração pública, defesa e seguridade social ",1660.07
"109","2020/1T","Médio incompleto ou equivalente","Administração pública, defesa e seguridade social ",1450.8
"110","2020/1T","Médio completo ou equivalente","Administração pública, defesa e seguridade social ",2011.91
"111","2020/1T","Superior incompleto ou equivalente","Administração pública, defesa e seguridade social ",1969.17
"112","2020/1T","Superior completo","Administração pública, defesa e seguridade social ",5323.8
